RA,Dec,Vmag,Bmag,B-V
89.276515,28.77852,15.4409,16.2685,0.8276
89.491428,28.779023,15.658,16.6435,0.9855
89.389992,28.778686,16.4704,17.536,1.0656
89.671929,28.778537,14.1964,15.8411,1.6447
89.463,28.777932,14.3732,15.4551,1.0819
89.386015,28.778314,17.8224,18.5627,0.7403
89.471455,28.778367,17.359,18.2493,0.8903
89.543397,28.77801,15.5268,16.2739,0.7471
89.297347,28.777261,17.501,18.1749,0.6739
89.405043,28.777282,17.0004,17.8081,0.8077
89.517772,28.777397,17.325,18.6412,1.3162
89.634372,28.777287,15.5783,16.3378,0.7595
89.622835,28.777522,16.6264,17.3745,0.7481
89.312205,28.776171,17.2157,18.2538,1.0381
89.422184,28.776289,16.0198,16.6789,0.6591
89.805076,28.777073,16.5072,17.2463,0.7391
89.66889,28.776745,17.1146,17.9129,0.7983
89.557823,28.776467,17.1904,17.9257,0.7353
89.813728,28.775794,13.4318,14.1612,0.7294
89.678816,28.776537,16.836,17.7847,0.9487
89.683569,28.776393,17.5184,18.346,0.8276
89.758295,28.77568,14.5206,15.2949,0.7743
89.513508,28.775268,16.7625,17.7921,1.0296
89.674817,28.775649,16.5616,17.3026,0.741
89.740568,28.77584,17.349,18.162,0.813
89.301526,28.773704,17.0582,18.0217,0.9635
89.373223,28.77401,17.6412,18.5594,0.9182
89.523219,28.77398,16.915,18.0707,1.1557
89.300197,28.772255,15.6532,16.4369,0.7837
89.697606,28.774169,17.6932,18.592,0.8988
89.523225,28.773988,16.9163,18.0707,1.1544
89.630482,28.773794,17.1656,17.8756,0.71
89.48889,28.772648,15.8142,16.5467,0.7325
89.300223,28.772259,15.6466,16.4369,0.7903
89.45423,28.772371,17.4083,18.1155,0.7072
89.780027,28.773368,17.8469,19.1655,1.3186
89.783277,28.772421,14.6152,15.1515,0.5363
89.70316,28.772396,17.0149,17.9691,0.9542
89.328064,28.770137,17.0296,18.0771,1.0475
89.478016,28.770489,15.8266,16.4668,0.6402
89.387799,28.76963,15.7536,16.4617,0.7081
89.312492,28.769617,16.7266,17.3662,0.6396
89.748017,28.771308,17.342,18.1292,0.7872
89.813158,28.771186,17.6835,18.5299,0.8464
89.495418,28.769937,16.477,17.3565,0.8795
89.49305,28.76984,15.9999,16.7797,0.7798
89.698803,28.770767,17.4068,18.494,1.0872
89.493053,28.769841,15.9997,16.7797,0.78
89.703007,28.770178,15.9929,16.7267,0.7338
89.657782,28.769402,16.3246,17.2231,0.8985
89.596481,28.76957,17.318,18.1561,0.8381
89.502219,28.768674,17.549,18.2761,0.7271
89.737785,28.767711,15.1504,16.2358,1.0854
89.762075,28.767622,13.6141,14.2952,0.6811
89.688304,28.768568,17.1135,17.9836,0.8701
89.393172,28.765961,12.4302,13.4692,1.039
89.801145,28.768474,17.474,18.3819,0.9079
89.737787,28.767711,15.1504,16.2358,1.0854
89.568963,28.767759,17.5367,18.6245,1.0878
89.811443,28.768276,17.3859,18.4158,1.0299
89.435159,28.766925,17.537,18.3708,0.8338
89.422291,28.766461,16.5823,17.4518,0.8695
89.678739,28.766887,16.5147,17.3337,0.819
89.252203,28.764854,15.5864,16.3155,0.7291
89.241423,28.764895,17.0078,17.951,0.9432
89.48198,28.765698,17.6648,18.3297,0.6649
89.472026,28.765226,15.7536,16.3718,0.6182
89.695399,28.766074,17.6354,18.4103,0.7749
89.665251,28.765846,17.6264,18.4605,0.8341
89.394261,28.764032,13.8508,14.4874,0.6366
