RA,Dec,Vmag,Bmag,B-V
92.176192,24.483052,14.9609,16.1819,1.221
91.99673,24.482345,16.154,16.9598,0.8058
92.012944,24.481879,16.677,17.66,0.983
92.447091,24.483465,16.5824,17.6106,1.0282
92.379715,24.483365,16.1853,16.9972,0.8119
92.374694,24.483346,17.335,18.2842,0.9492
92.473528,24.483189,16.9429,17.8339,0.891
92.275916,24.482421,17.0809,17.9773,0.8964
92.112034,24.481106,17.1769,17.938,0.7611
92.407575,24.481959,15.6139,16.3143,0.7004
92.426048,24.482227,17.2194,18.1628,0.9434
92.226838,24.481088,16.7806,17.5392,0.7586
92.411852,24.481544,16.6319,17.6774,1.0455
92.341347,24.480426,13.8871,14.5728,0.6857
92.324539,24.479925,12.7446,13.2402,0.4956
92.077867,24.47982,15.5766,16.1412,0.5646
92.018502,24.479677,15.8703,16.7265,0.8562
92.166232,24.480567,17.1048,18.3739,1.2691
92.444496,24.480906,16.4035,17.3427,0.9392
92.324535,24.479925,12.745,13.2402,0.4952
92.064192,24.479499,17.3924,18.2253,0.8329
92.251573,24.479191,14.309,15.195,0.886
92.427573,24.480628,16.7887,17.7425,0.9538
92.495244,24.479447,13.3143,13.9423,0.628
92.495226,24.47945,13.3144,13.9423,0.6279
92.474708,24.480504,17.1291,18.0355,0.9064
92.109892,24.478921,16.7204,17.5238,0.8034
92.459553,24.479475,15.0407,16.352,1.3113
92.182127,24.478842,16.7029,17.6396,0.9367
92.17666,24.478631,17.3291,17.9931,0.664
92.358244,24.479059,17.2317,18.0253,0.7936
92.147521,24.476969,13.8444,14.5082,0.6638
92.079144,24.476751,14.6465,15.418,0.7715
92.374084,24.477548,13.8738,14.4787,0.6049
92.232889,24.476643,13.6899,14.3471,0.6572
92.221899,24.477015,15.0564,15.7234,0.667
92.217661,24.477189,15.468,16.217,0.749
92.197118,24.477497,17.0773,18.1819,1.1046
92.017227,24.476333,16.9466,17.8771,0.9305
92.182732,24.47734,16.7744,17.674,0.8996
92.089224,24.476346,15.6752,16.5375,0.8623
92.225444,24.476919,15.9524,16.8526,0.9002
92.017231,24.476334,16.9466,17.8771,0.9305
92.451792,24.477926,17.1074,18.1413,1.0339
92.158868,24.476251,15.8142,16.6769,0.8627
92.416493,24.477278,16.8376,17.6092,0.7716
92.138617,24.475487,14.0885,14.9065,0.818
92.332505,24.47537,13.9888,14.4151,0.4263
92.289005,24.476207,17.2413,18.0774,0.8361
92.3195,24.476129,17.4944,18.1951,0.7007
92.424401,24.476321,17.4513,18.5487,1.0974
92.502641,24.475816,15.382,16.2128,0.8308
92.385347,24.475489,15.6567,16.7283,1.0716
92.379191,24.475319,14.815,15.597,0.782
92.32959,24.475592,16.5421,17.2731,0.731
92.024502,24.473472,14.0356,14.9881,0.9525
92.066604,24.474157,17.2395,18.0147,0.7752
92.447192,24.475188,15.9395,16.8834,0.9439
92.177826,24.474356,17.1713,18.1494,0.9781
92.493884,24.47548,17.5754,18.4039,0.8285
92.508658,24.474868,15.8768,16.8056,0.9288
92.477093,24.474475,15.0956,15.6515,0.5559
92.193896,24.472397,11.4949,11.8122,0.3173
92.007918,24.472546,15.2522,16.0563,0.8041
